headline,author,time,content
《業績-其他電》大拓-KY10月合併營收為1.20億元，年增4.39%,時報資訊,2023-11-09T06:34:32.000Z,"【時報-快訊】大拓-KY(8455)10月合併營收(單位:千元)
項目 10月營收 1-10月營收
112年度 120,475 1,267,193
111年同期 115,409 1,203,315
增減金額 5,066 63,878
增減(％) 4.39 5.31"
【公告】大拓-KY 2023年10月合併營收1.2億元 年增4.39%,中央社,2023-11-09T06:32:20.000Z,"日期： 2023 年 11 月 09日
上櫃公司：大拓-KY (8455)
單位：仟元"
