,date,stock_id,link,source,title
0,2023-01-02 08:00:00,1216,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NzEwLzY4ODE5NjHSAQA?oc=5,經濟日報,統一集團營收拚躍進| 集中市場| 證券 - 經濟日報
1,2023-01-02 08:00:00,1216,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NzEwLzY4ODE5NjHSAQA?oc=5,經濟日報,統一集團營收拚躍進| 集中市場| 證券| 經濟日報 - 經濟日報
2,2023-01-02 15:41:24,1216,https://news.google.com/__i/rss/rd/articles/CBMiLmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NzEwLzY4ODE5NjHSAQA?oc=5,經濟日報,統一集團營收拚躍進| 集中市場| 證券| 經濟日報 - 經濟日報
3,2023-01-02 15:49:32,1216,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NzEwLzY4ODE5NjHSAQA?oc=5,經濟日報,統一集團營收拚躍進| 集中市場| 證券| 經濟日報 - 經濟日報
4,2023-01-03 01:50:00,1216,https://news.google.com/__i/rss/rd/articles/CBMiLmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NzEwLzY4ODE5NjHSAQA?oc=5,經濟日報,統一集團營收拚躍進| 集中市場| 證券| 經濟日報 - 經濟日報
5,2023-01-03 08:00:00,1216,https://news.google.com/__i/rss/rd/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDEvNjg4NDYyMdIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjQxLzY4ODQ2MjE?oc=5,聯合新聞網,統一企業集團投資近百億 中部地區物流園區落腳台中港 - 聯合新聞網
6,2023-01-03 08:00:00,1216,https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NjEyLzY4ODQ2MjE_ZnJvbT1lZG5fbmV3ZXN0bGlzdF9jYXRlX3NpZGXSATJodHRwczovL21vbmV5LnVkbi5jb20vbW9uZXkvYW1wL3N0b3J5LzU2MTIvNjg4NDYyMQ?oc=5,經濟日報,統一企業集團投資近百億 中部地區物流園區落腳台中港 - 經濟日報
7,2023-01-03 08:00:00,1216,https://news.google.com/__i/rss/rd/articles/CBMiMmh0dHBzOi8vZWMubHRuLmNvbS50dy9hcnRpY2xlL2JyZWFraW5nbmV3cy80MTczMjI10gE2aHR0cHM6Ly9lYy5sdG4uY29tLnR3L2FtcC9hcnRpY2xlL2JyZWFraW5nbmV3cy80MTczMjI1?oc=5,自由財經,統一集團將投資百億元 在台中港打造物流企業總部 - 自由財經
8,2023-01-03 08:00:00,1216,https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDEvNjg4NDYyMdIBAA?oc=5,聯合新聞網,統一企業集團投資近百億中部地區物流園區落腳台中港| 聯合新聞網 - 聯合新聞網
9,2023-01-03 14:42:08,1216,https://news.google.com/__i/rss/rd/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDEvNjg4NDYyMdIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjQxLzY4ODQ2MjE?oc=5,聯合新聞網,統一企業集團投資近百億 中部地區物流園區落腳台中港 - 聯合新聞網
10,2023-01-03 14:43:45,1216,https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NjEyLzY4ODQ2MjE_ZnJvbT1lZG5fc3ViY2F0ZWxpc3RfY2F0ZdIBMmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9hbXAvc3RvcnkvNTYxMi82ODg0NjIx?oc=5,經濟日報,統一企業集團投資近百億 中部地區物流園區落腳台中港 - 經濟日報
11,2023-01-04 08:00:00,1216,https://news.google.com/__i/rss/rd/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDEvNjg4NzA3OdIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjQxLzY4ODcwNzk?oc=5,聯合新聞網,誠品信義店傳將作為統一時代二館 統一：現在不宜討論後續 - 聯合新聞網
12,2023-01-04 08:00:00,1216,https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDEvNjg4NzA3OdIBAA?oc=5,聯合新聞網,誠品信義店傳將作為統一時代二館統一：現在不宜討論後續| 聯合新聞網 - 聯合新聞網
