,date,stock_id,link,source,title
0,2023-01-04 07:21:14,1301,https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd2FudHJpY2guY2hpbmF0aW1lcy5jb20vbmV3cy8yMDIzMDEwNDkwMDY1Ni00MjAxMDHSAT5odHRwczovL3dhbnRyaWNoLmNoaW5hdGltZXMuY29tL2FtcC9uZXdzLzIwMjMwMTA0OTAwNjU2LTQyMDEwMQ?oc=5,旺得富 WantRich,綠能需求火熱 台塑、台聚、亞聚、上緯EVA、碳纖維、風電樹脂營運添利 - 旺得富 WantRich
1,2023-01-04 08:00:00,1301,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd2FudHJpY2guY2hpbmF0aW1lcy5jb20vbmV3cy8yMDIzMDEwNDkwMDY1Ni00MjAxMDHSAT5odHRwczovL3dhbnRyaWNoLmNoaW5hdGltZXMuY29tL2FtcC9uZXdzLzIwMjMwMTA0OTAwNjU2LTQyMDEwMQ?oc=5,旺得富 WantRich,綠能需求火熱 台塑、台聚、亞聚、上緯EVA、碳纖維、風電樹脂營運添利 - 旺得富 WantRich
2,2023-01-04 19:09:45,1301,https://news.google.com/__i/rss/rd/articles/CBMiLWh0dHBzOi8vY3RlZS5jb20udHcvbmV3cy9pbmR1c3RyeS83ODY0OTEuaHRtbNIBAA?oc=5,工商時報,綠能夯 台塑、台聚、亞聚吞補丸 - 工商時報
3,2023-01-05 00:11:34,1301,https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd2FudHJpY2guY2hpbmF0aW1lcy5jb20vbmV3cy8yMDIzMDEwNTkwMDIxOS00MjAxMDHSAT5odHRwczovL3dhbnRyaWNoLmNoaW5hdGltZXMuY29tL2FtcC9uZXdzLzIwMjMwMTA1OTAwMjE5LTQyMDEwMQ?oc=5,旺得富 WantRich,綠能夯 台塑台聚亞聚吞補丸 - 旺得富 WantRich
4,2023-01-05 08:00:00,1301,https://news.google.com/__i/rss/rd/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDEvNjg5MDE0NdIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjQxLzY4OTAxNDU?oc=5,聯合新聞網,台塑「創新綠事業」 三路出擊 - 聯合新聞網
5,2023-01-05 08:00:00,1301,https://news.google.com/__i/rss/rd/articles/CBMiLmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NjEyLzY4OTAxNDXSATJodHRwczovL21vbmV5LnVkbi5jb20vbW9uZXkvYW1wL3N0b3J5LzU2MTIvNjg5MDE0NQ?oc=5,經濟日報,台塑創新綠事業 三路出擊 - 經濟日報
6,2023-01-05 08:00:00,1301,https://news.google.com/__i/rss/rd/articles/CBMingFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSVBMSU5MSVFOCU4NiVBMCVFOCU4MiVBMS0lRTQlQjglOEQlRTUlQTYlOTktJUU1JThGJUIwJUU1JUExJTkxJUU0JUI4JThBJUU1JUFEJUEzJUU2JTgxJTkwJUU1JTkwJTgzLSVFOCU5OSVBNy0wMzQyMDcyNTkuaHRtbNIBpgFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvJUU1JUExJTkxJUU4JTg2JUEwJUU4JTgyJUExLSVFNCVCOCU4RCVFNSVBNiU5OS0lRTUlOEYlQjAlRTUlQTElOTElRTQlQjglOEElRTUlQUQlQTMlRTYlODElOTAlRTUlOTAlODMtJUU4JTk5JUE3LTAzNDIwNzI1OS5odG1s?oc=5,Yahoo奇摩股市,《塑膠股》不妙 台塑上季恐吃「虧」 - Yahoo奇摩股市
7,2023-01-05 08:00:00,1301,https://news.google.com/__i/rss/rd/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDEvNjg5MDE0NdIBAA?oc=5,聯合新聞網,台塑「創新綠事業」 三路出擊| 聯合新聞網 - 聯合新聞網
8,2023-01-05 08:00:00,1301,https://news.google.com/__i/rss/rd/articles/CBMiLWh0dHBzOi8vY3RlZS5jb20udHcvbmV3cy9pbmR1c3RyeS83ODY5NzMuaHRtbNIBAA?oc=5,工商時報,塑化報價連漲走堅 台塑、華夏營運加分 - 工商時報
9,2023-01-05 08:00:00,1301,https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd2FudHJpY2guY2hpbmF0aW1lcy5jb20vbmV3cy8yMDIzMDEwNTkwMDIxOS00MjAxMDHSAT5odHRwczovL3dhbnRyaWNoLmNoaW5hdGltZXMuY29tL2FtcC9uZXdzLzIwMjMwMTA1OTAwMjE5LTQyMDEwMQ?oc=5,旺得富 WantRich,綠能夯 台塑台聚亞聚吞補丸 - 旺得富 WantRich
