,date,stock_id,link,source,title
0,2023-01-09 08:00:00,2421,https://news.google.com/__i/rss/rd/articles/CBMiSmh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L3N1bm9uLTI0MjEtMjAyMjEyLWZpbmFuY2lhbC1yZXBvcnQv0gEA?oc=5,科技新報,建準12月營收月減14.8% | TechNews 科技新報 - 科技新報
1,2023-01-09 08:00:00,2421,https://news.google.com/__i/rss/rd/articles/CBMiSmh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L3N1bm9uLTI0MjEtMjAyMjEyLWZpbmFuY2lhbC1yZXBvcnQv0gEA?oc=5,finance.technews.tw,建準12月營收月減14.8% | TechNews 科技新報 - finance.technews.tw
2,2023-01-09 08:00:00,2421,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L3N1bm9uLTI0MjEtMjAyMjEyLWZpbmFuY2lhbC1yZXBvcnQv0gEA?oc=5,TechNews 科技新報,建準12月營收月減14.8% | TechNews 科技新報 - TechNews 科技新報
3,2023-01-09 11:01:32,2421,https://news.google.com/__i/rss/rd/articles/CBMiSmh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L3N1bm9uLTI0MjEtMjAyMjEyLWZpbmFuY2lhbC1yZXBvcnQv0gEA?oc=5,TechNews 科技新報,建準12月營收月減14.8% | TechNews 科技新報 - TechNews 科技新報
4,2023-01-09 11:01:32,2421,https://news.google.com/__i/rss/rd/articles/CBMiSmh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L3N1bm9uLTI0MjEtMjAyMjEyLWZpbmFuY2lhbC1yZXBvcnQv0gEA?oc=5,科技新報,建準12月營收月減14.8% | TechNews 科技新報 - 科技新報
5,2023-01-10 08:00:00,2421,https://news.google.com/__i/rss/rd/articles/CBMi6gNodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTUlQkIlQkElRTYlQkElOTYlRTQlQkIlQTMlRTklODclOEQlRTglQTYlODElRTUlQUQlOTAlRTUlODUlQUMlRTUlOEYlQjglRTUlQkIlQkElRTYlQkElOTYlRTUlOUMlOEIlRTklOUElOUIlRTYlOUMlODklRTklOTklOTAlRTUlODUlQUMlRTUlOEYlQjglRTglQkQlODklRTYlOEElOTUlRTglQjMlODclRTQlQjklOEIlRTUlQUQlOTAlRTUlODUlQUMlRTUlOEYlQjglRTUlOEYlOTYlRTUlQkUlOTclRTUlOTAlOEMtJUU3JTkwJTg2JUU4JUIyJUExJUU1JTk1JTg2JUU1JTkzJTgxJUU3JUI0JUFGJUU3JUE5JThEJUU5JTg3JTkxJUU5JUExJThEJUU5JTgxJTk0JUU1JTg1JUFDJUU1JThGJUI4JUU1JUFGJUE2JUU2JTk0JUI2JUU4JUIzJTg3JUU2JTlDJUFDJUU5JUExJThEJUU3JTk5JUJFJUU1JTg4JTg2JUU0JUI5JThCJUU0JUJBJThDJUU1JThEJTgxLTA2NTE0NTQxOS5odG1s0gHyA2h0dHBzOi8vdHcuc3RvY2sueWFob28uY29tL2FtcGh0bWwvbmV3cy8lRTUlODUlQUMlRTUlOTElOEEtJUU1JUJCJUJBJUU2JUJBJTk2JUU0JUJCJUEzJUU5JTg3JThEJUU4JUE2JTgxJUU1JUFEJTkwJUU1JTg1JUFDJUU1JThGJUI4JUU1JUJCJUJBJUU2JUJBJTk2JUU1JTlDJThCJUU5JTlBJTlCJUU2JTlDJTg5JUU5JTk5JTkwJUU1JTg1JUFDJUU1JThGJUI4JUU4JUJEJTg5JUU2JThBJTk1JUU4JUIzJTg3JUU0JUI5JThCJUU1JUFEJTkwJUU1JTg1JUFDJUU1JThGJUI4JUU1JThGJTk2JUU1JUJFJTk3JUU1JTkwJThDLSVFNyU5MCU4NiVFOCVCMiVBMSVFNSU5NSU4NiVFNSU5MyU4MSVFNyVCNCVBRiVFNyVBOSU4RCVFOSU4NyU5MSVFOSVBMSU4RCVFOSU4MSU5NCVFNSU4NSVBQyVFNSU4RiVCOCVFNSVBRiVBNiVFNiU5NCVCNiVFOCVCMyU4NyVFNiU5QyVBQyVFOSVBMSU4RCVFNyU5OSVCRSVFNSU4OCU4NiVFNCVCOSU4QiVFNCVCQSU4QyVFNSU4RCU4MS0wNjUxNDU0MTkuaHRtbA?oc=5,Yahoo奇摩股市,【公告】建準代重要子公司建準國際有限公司轉投資之子公司取得同一理財商品累積金額達公司實收資本額百分之二十 - Yahoo奇摩股市
6,2023-01-10 08:00:00,2421,https://news.google.com/__i/rss/rd/articles/CBMiLGh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg0P2V4cD1h0gEqaHR0cHM6Ly9hbXAtbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg0?oc=5,Anue鉅亨,建準:代重要子公司建準國際有限公司公告轉投資之子公司取得同一理財商品累積金額達公司實收資本額百分之二十 - Anue鉅亨
7,2023-01-11 06:34:15,2421,https://news.google.com/__i/rss/rd/articles/CBMiLGh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg0P2V4cD1h0gEqaHR0cHM6Ly9hbXAtbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg0?oc=5,Anue鉅亨,建準:代重要子公司建準國際有限公司公告轉投資之子公司取得同一理財商品累積金額達公司實收資本額百分之二十 - Anue鉅亨
8,2023-01-11 07:02:49,2421,https://news.google.com/__i/rss/rd/articles/CBMi6gNodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTUlQkIlQkElRTYlQkElOTYlRTQlQkIlQTMlRTklODclOEQlRTglQTYlODElRTUlQUQlOTAlRTUlODUlQUMlRTUlOEYlQjglRTUlQkIlQkElRTYlQkElOTYlRTUlOUMlOEIlRTklOUElOUIlRTYlOUMlODklRTklOTklOTAlRTUlODUlQUMlRTUlOEYlQjglRTglQkQlODklRTYlOEElOTUlRTglQjMlODclRTQlQjklOEIlRTUlQUQlOTAlRTUlODUlQUMlRTUlOEYlQjglRTUlOEYlOTYlRTUlQkUlOTclRTUlOTAlOEMtJUU3JTkwJTg2JUU4JUIyJUExJUU1JTk1JTg2JUU1JTkzJTgxJUU3JUI0JUFGJUU3JUE5JThEJUU5JTg3JTkxJUU5JUExJThEJUU5JTgxJTk0JUU1JTg1JUFDJUU1JThGJUI4JUU1JUFGJUE2JUU2JTk0JUI2JUU4JUIzJTg3JUU2JTlDJUFDJUU5JUExJThEJUU3JTk5JUJFJUU1JTg4JTg2JUU0JUI5JThCJUU0JUJBJThDJUU1JThEJTgxLTA2NTE0NTQxOS5odG1s0gHyA2h0dHBzOi8vdHcuc3RvY2sueWFob28uY29tL2FtcGh0bWwvbmV3cy8lRTUlODUlQUMlRTUlOTElOEEtJUU1JUJCJUJBJUU2JUJBJTk2JUU0JUJCJUEzJUU5JTg3JThEJUU4JUE2JTgxJUU1JUFEJTkwJUU1JTg1JUFDJUU1JThGJUI4JUU1JUJCJUJBJUU2JUJBJTk2JUU1JTlDJThCJUU5JTlBJTlCJUU2JTlDJTg5JUU5JTk5JTkwJUU1JTg1JUFDJUU1JThGJUI4JUU4JUJEJTg5JUU2JThBJTk1JUU4JUIzJTg3JUU0JUI5JThCJUU1JUFEJTkwJUU1JTg1JUFDJUU1JThGJUI4JUU1JThGJTk2JUU1JUJFJTk3JUU1JTkwJThDLSVFNyU5MCU4NiVFOCVCMiVBMSVFNSU5NSU4NiVFNSU5MyU4MSVFNyVCNCVBRiVFNyVBOSU4RCVFOSU4NyU5MSVFOSVBMSU4RCVFOSU4MSU5NCVFNSU4NSVBQyVFNSU4RiVCOCVFNSVBRiVBNiVFNiU5NCVCNiVFOCVCMyU4NyVFNiU5QyVBQyVFOSVBMSU4RCVFNyU5OSVCRSVFNSU4OCU4NiVFNCVCOSU4QiVFNCVCQSU4QyVFNSU4RCU4MS0wNjUxNDU0MTkuaHRtbA?oc=5,Yahoo奇摩股市,【公告】建準代重要子公司建準國際有限公司轉投資之子公司取得同一理財商品累積金額達公司實收資本額百分之二十 - Yahoo奇摩股市
9,2023-01-17 08:00:00,2421,https://news.google.com/__i/rss/rd/articles/CBMikQNodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNSU4NSVBQyVFNSU5MSU4QS0lRTUlQkIlQkElRTYlQkElOTYlRTQlQkIlQTMlRTklODclOEQlRTglQTYlODElRTUlQUQlOTAlRTUlODUlQUMlRTUlOEYlQjglRTUlQkIlQkElRTYlQkElOTYlRTUlOUMlOEIlRTklOUElOUIlRTYlOUMlODklRTklOTklOTAlRTUlODUlQUMlRTUlOEYlQjglRTglQkQlODklRTYlOEElOTUlRTglQjMlODclRTQlQjklOEIlRTUlQUQlOTAlRTUlODUlQUMlRTUlOEYlQjglRTglOTklOTUlRTUlODglODYlRTclOTAlODYlRTglQjIlQTElRTUlOTUlODYlRTUlOTMlODElRTclQjQlQUYlRTclQTklOEQlRTklODElOTQlRTUlQUYlQTYlRTYlOTQlQjYlRTglQjMlODclRTYlOUMlQUMlRTklQTElOEQyMC0wNzEwNDM3ODYuaHRtbNIBmQNodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvJUU1JTg1JUFDJUU1JTkxJThBLSVFNSVCQiVCQSVFNiVCQSU5NiVFNCVCQiVBMyVFOSU4NyU4RCVFOCVBNiU4MSVFNSVBRCU5MCVFNSU4NSVBQyVFNSU4RiVCOCVFNSVCQiVCQSVFNiVCQSU5NiVFNSU5QyU4QiVFOSU5QSU5QiVFNiU5QyU4OSVFOSU5OSU5MCVFNSU4NSVBQyVFNSU4RiVCOCVFOCVCRCU4OSVFNiU4QSU5NSVFOCVCMyU4NyVFNCVCOSU4QiVFNSVBRCU5MCVFNSU4NSVBQyVFNSU4RiVCOCVFOCU5OSU5NSVFNSU4OCU4NiVFNyU5MCU4NiVFOCVCMiVBMSVFNSU5NSU4NiVFNSU5MyU4MSVFNyVCNCVBRiVFNyVBOSU4RCVFOSU4MSU5NCVFNSVBRiVBNiVFNiU5NCVCNiVFOCVCMyU4NyVFNiU5QyVBQyVFOSVBMSU4RDIwLTA3MTA0Mzc4Ni5odG1s?oc=5,Yahoo奇摩股市,【公告】建準代重要子公司建準國際有限公司轉投資之子公司處分理財商品累積達實收資本額20% - Yahoo奇摩股市
