,date,stock_id,link,source,title
0,2023-01-09 04:17:08,3017,https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L2F2Yy0zMDE3LTIwMjIxMi1maW5hbmNpYWwtcmVwb3J0L9IBAA?oc=5,TechNews 科技新報,奇鋐12月營收月減11.2% | TechNews 科技新報 - TechNews 科技新報
1,2023-01-09 04:17:08,3017,https://news.google.com/__i/rss/rd/articles/CBMiQGh0dHBzOi8vdGVjaG5ld3MudHcvMjAyMy8wMS8wOS9hdmMtMzAxNy0yMDIyMTItZmluYW5jaWFsLXJlcG9ydC_SAQA?oc=5,TechNews 科技新報 ,奇鋐12月營收月減11.2% - TechNews 科技新報 
2,2023-01-09 04:17:08,3017,https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L2F2Yy0zMDE3LTIwMjIxMi1maW5hbmNpYWwtcmVwb3J0L9IBAA?oc=5,科技新報,奇鋐12月營收月減11.2% | TechNews 科技新報 - 科技新報
3,2023-01-09 04:17:08,3017,https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L2F2Yy0zMDE3LTIwMjIxMi1maW5hbmNpYWwtcmVwb3J0L9IBAA?oc=5,finance.technews.tw,奇鋐12月營收月減11.2% | TechNews 科技新報 - finance.technews.tw
4,2023-01-09 08:00:00,3017,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L2F2Yy0zMDE3LTIwMjIxMi1maW5hbmNpYWwtcmVwb3J0L9IBAA?oc=5,科技新報,奇鋐12月營收月減11.2% | TechNews 科技新報 - 科技新報
5,2023-01-09 08:00:00,3017,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L2F2Yy0zMDE3LTIwMjIxMi1maW5hbmNpYWwtcmVwb3J0L9IBAA?oc=5,TechNews 科技新報,奇鋐12月營收月減11.2% | TechNews 科技新報 - TechNews 科技新報
6,2023-01-09 08:00:00,3017,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vZmluYW5jZS50ZWNobmV3cy50dy8yMDIzLzAxLzA5L2F2Yy0zMDE3LTIwMjIxMi1maW5hbmNpYWwtcmVwb3J0L9IBAA?oc=5,finance.technews.tw,奇鋐12月營收月減11.2% | TechNews 科技新報 - finance.technews.tw
7,2023-01-16 06:19:11,3017,https://news.google.com/__i/rss/rd/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNDAvNjkxNDUxMtIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjQwLzY5MTQ1MTI?oc=5,聯合新聞網,集邦估今年折疊手機鉸鏈產值逾5億美元 奇鋐也有供貨 - 聯合新聞網
8,2023-01-16 06:19:33,3017,https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NjEyLzY5MTQ1MTI_ZnJvbT1lZG5fbmV3ZXN0bGlzdF9jYXRlX3NpZGXSATJodHRwczovL21vbmV5LnVkbi5jb20vbW9uZXkvYW1wL3N0b3J5LzU2MTIvNjkxNDUxMg?oc=5,經濟日報,集邦估今年折疊手機鉸鏈產值逾5億美元 奇鋐也有供貨 - 經濟日報
9,2023-01-16 08:00:00,3017,https://news.google.com/__i/rss/rd/articles/CBMi7AFodHRwczovL3R3Lm5ld3MueWFob28uY29tL29sZWQlRTYlOEElOTglRTclOTYlOEElRTYlODklOEIlRTYlQTklOUYlRTklODklQjglRTklOEYlODglRTUlQjklQjQlRTclOTQlQTIlRTUlODAlQkMlRTglQTElOUQ1JUU1JTg0JTg0JUU3JUJFJThFJUU1JTg1JTgzLSVFNiVCMCVCNCVFNiVCQiVCNCVFNSU5RSU4QiVFNyU5NCVCMSVFNSVBNSU4NyVFOSU4QiU5MCVFNiU4RiU5MCVFNCVCRSU5Qi0wODI2Mzk0MjYuaHRtbNIBAA?oc=5,Yahoo奇摩新聞,OLED折疊手機鉸鏈年產值衝5億美元水滴型由奇鋐提供 - Yahoo奇摩新聞
