,date,stock_id,link,source,title
0,2023-01-10 08:00:00,5443,https://news.google.com/__i/rss/rd/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg30gEqaHR0cHM6Ly9hbXAtbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg3?oc=5,Anue鉅亨,均豪:公告本公司111年第4季自結合併損益 - Anue鉅亨
1,2023-01-11 01:38:25,5443,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwMTk10gEA?oc=5,Anue鉅亨,盤中速報- 均豪(5443)急拉2.65%報29.05元，成交306張| Anue鉅亨 ... - Anue鉅亨
2,2023-01-11 02:29:40,5443,https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vdHcubmV3cy55YWhvby5jb20vJUU3JTlCJUE0JUU0JUI4JUFEJUU5JTgwJTlGJUU1JUEwJUIxLSVFNSU5RCU4NyVFOCVCMSVBQS01NDQzLSVFNiU4MCVBNSVFNiU4QiU4OTItNjUtMDEzODI1MjE3Lmh0bWzSAYQBaHR0cHM6Ly90dy5uZXdzLnlhaG9vLmNvbS9hbXBodG1sLyVFNyU5QiVBNCVFNCVCOCVBRCVFOSU4MCU5RiVFNSVBMCVCMS0lRTUlOUQlODclRTglQjElQUEtNTQ0My0lRTYlODAlQTUlRTYlOEIlODkyLTY1LTAxMzgyNTIxNy5odG1s?oc=5,Yahoo奇摩新聞,盤中速報 - 均豪(5443)急拉2.65%報29.05元，成交306張 - Yahoo奇摩新聞
3,2023-01-11 02:29:40,5443,https://news.google.com/__i/rss/rd/articles/CBMiggFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNyU5QiVBNCVFNCVCOCVBRCVFOSU4MCU5RiVFNSVBMCVCMS0lRTUlOUQlODclRTglQjElQUEtNTQ0My0lRTYlODAlQTUlRTYlOEIlODkyLTY1LTAxMzgyNTIxNy5odG1s0gGKAWh0dHBzOi8vdHcuc3RvY2sueWFob28uY29tL2FtcGh0bWwvbmV3cy8lRTclOUIlQTQlRTQlQjglQUQlRTklODAlOUYlRTUlQTAlQjEtJUU1JTlEJTg3JUU4JUIxJUFBLTU0NDMtJUU2JTgwJUE1JUU2JThCJTg5Mi02NS0wMTM4MjUyMTcuaHRtbA?oc=5,Yahoo奇摩股市,盤中速報 - 均豪(5443)急拉2.65%報29.05元，成交306張 - Yahoo奇摩股市
4,2023-01-11 02:29:45,5443,https://news.google.com/__i/rss/rd/articles/CBMiggFodHRwczovL3R3LnN0b2NrLnlhaG9vLmNvbS9uZXdzLyVFNyU5QiVBNCVFNCVCOCVBRCVFOSU4MCU5RiVFNSVBMCVCMS0lRTUlOUQlODclRTglQjElQUEtNTQ0My0lRTYlODAlQTUlRTYlOEIlODkyLTY1LTAxMzgyNTIxNy5odG1s0gGKAWh0dHBzOi8vdHcuc3RvY2sueWFob28uY29tL2FtcGh0bWwvbmV3cy8lRTclOUIlQTQlRTQlQjglQUQlRTklODAlOUYlRTUlQTAlQjEtJUU1JTlEJTg3JUU4JUIxJUFBLTU0NDMtJUU2JTgwJUE1JUU2JThCJTg5Mi02NS0wMTM4MjUyMTcuaHRtbA?oc=5,Yahoo奇摩股市,盤中速報 - 均豪(5443)急拉2.65%報29.05元，成交306張 - Yahoo奇摩股市
5,2023-01-11 06:38:04,5443,https://news.google.com/__i/rss/rd/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg30gEqaHR0cHM6Ly9hbXAtbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDYwNTg3?oc=5,Anue鉅亨,均豪:公告本公司111年第4季自結合併損益 - Anue鉅亨
6,2023-01-11 08:00:00,5443,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS81NjEyLzY5MDM0NDc_ZnJvbT1lZG5fcHJldmlvdXNfc3RvcnnSATJodHRwczovL21vbmV5LnVkbi5jb20vbW9uZXkvYW1wL3N0b3J5LzU2MTIvNjkwMzQ0Nw?oc=5,經濟日報,均豪自結2022年每股稅後盈餘2.45元 賺贏2021年 - 經濟日報
7,2023-01-11 08:00:00,5443,https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vbW9uZXkudWRuLmNvbS9tb25leS9zdG9yeS8xMTA3NC82OTAzOTcw0gEzaHR0cHM6Ly9tb25leS51ZG4uY29tL21vbmV5L2FtcC9zdG9yeS8xMTA3NC82OTAzOTcw?oc=5,經濟日報,均豪去年業績耀眼 EPS 2.45元 - 經濟日報
8,2023-01-11 08:00:00,5443,https://news.google.com/rss/articles/CBMiJ2h0dHBzOi8vdWRuLmNvbS9uZXdzL3N0b3J5LzcyNTQvNjkwMzk3MNIBK2h0dHBzOi8vdWRuLmNvbS9uZXdzL2FtcC9zdG9yeS83MjU0LzY5MDM5NzA?oc=5,聯合新聞網,均豪去年業績耀眼 EPS 2.45元 - 聯合新聞網
9,2023-01-11 08:00:00,5443,https://news.google.com/rss/articles/CBMi9gFodHRwczovL3R3Lm5ld3MueWFob28uY29tLyVFNyU5NCVBMiVFNSU5MyU4MSVFNyVCNSU4NCVFNSU5MCU4OCVFNSU4NCVBQSVFNSU4QyU5Ni0lRTUlOUQlODclRTglQjElQUElRTUlOEUlQkIlRTUlQjklQjQlRTclOEQlQjIlRTUlODglQTklRTUlQjklQjQlRTUlQTIlOUU2JUU2JTg4JTkwLSVFNiVBRiU4RiVFOCU4MiVBMSVFOCVCMyVCQTItNDUlRTUlODUlODMlRTglQTElOUQlRTYlOTYlQjAlRTklQUIlOTgtMDk0MDI3MTU3Lmh0bWzSAf4BaHR0cHM6Ly90dy5uZXdzLnlhaG9vLmNvbS9hbXBodG1sLyVFNyU5NCVBMiVFNSU5MyU4MSVFNyVCNSU4NCVFNSU5MCU4OCVFNSU4NCVBQSVFNSU4QyU5Ni0lRTUlOUQlODclRTglQjElQUElRTUlOEUlQkIlRTUlQjklQjQlRTclOEQlQjIlRTUlODglQTklRTUlQjklQjQlRTUlQTIlOUU2JUU2JTg4JTkwLSVFNiVBRiU4RiVFOCU4MiVBMSVFOCVCMyVCQTItNDUlRTUlODUlODMlRTglQTElOUQlRTYlOTYlQjAlRTklQUIlOTgtMDk0MDI3MTU3Lmh0bWw?oc=5,Yahoo奇摩新聞,產品組合優化 均豪去年獲利年增6成 每股賺2.45元衝新高 - Yahoo奇摩新聞
