,date,stock_id,link,source,title
0,2023-01-05 08:00:00,8064,https://news.google.com/__i/rss/rd/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDU0ODg00gEA?oc=5,Anue鉅亨,"盤中速報- 東捷(8064)急拉2.1%報17.0元，成交1,289張 | Anue鉅亨- 台 ... - Anue鉅亨"
1,2023-01-05 08:00:00,8064,https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vdHcubmV3cy55YWhvby5jb20vJUU3JTlCJUE0JUU0JUI4JUFEJUU5JTgwJTlGJUU1JUEwJUIxLSVFNiU5RCVCMSVFNiU4RCVCNy04MDY0LSVFNiU4MCVBNSVFNiU4QiU4OTItMS0wNDA3MjU4MTUuaHRtbNIBgwFodHRwczovL3R3Lm5ld3MueWFob28uY29tL2FtcGh0bWwvJUU3JTlCJUE0JUU0JUI4JUFEJUU5JTgwJTlGJUU1JUEwJUIxLSVFNiU5RCVCMSVFNiU4RCVCNy04MDY0LSVFNiU4MCVBNSVFNiU4QiU4OTItMS0wNDA3MjU4MTUuaHRtbA?oc=5,Yahoo奇摩新聞,"盤中速報 - 東捷(8064)急拉2.1%報17.0元，成交1,289張 - Yahoo奇摩新聞"
2,2023-01-06 04:07:25,8064,https://news.google.com/__i/rss/rd/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDU0ODg00gEA?oc=5,Anue鉅亨,"盤中速報- 東捷(8064)急拉2.1%報17.0元，成交1,289張 | Anue鉅亨- 台 ... - Anue鉅亨"
3,2023-01-06 04:59:58,8064,https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vdHcubmV3cy55YWhvby5jb20vJUU3JTlCJUE0JUU0JUI4JUFEJUU5JTgwJTlGJUU1JUEwJUIxLSVFNiU5RCVCMSVFNiU4RCVCNy04MDY0LSVFNiU4MCVBNSVFNiU4QiU4OTItMS0wNDA3MjU4MTUuaHRtbNIBgwFodHRwczovL3R3Lm5ld3MueWFob28uY29tL2FtcGh0bWwvJUU3JTlCJUE0JUU0JUI4JUFEJUU5JTgwJTlGJUU1JUEwJUIxLSVFNiU5RCVCMSVFNiU4RCVCNy04MDY0LSVFNiU4MCVBNSVFNiU4QiU4OTItMS0wNDA3MjU4MTUuaHRtbA?oc=5,Yahoo奇摩新聞,"盤中速報 - 東捷(8064)急拉2.1%報17.0元，成交1,289張 - Yahoo奇摩新聞"
4,2023-01-09 08:00:00,8064,https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vdHcubmV3cy55YWhvby5jb20vJUU3JTlCJUE0JUU0JUI4JUFEJUU5JTgwJTlGJUU1JUEwJUIxLSVFNiU5RCVCMSVFNiU4RCVCNy04MDY0LSVFNiU4MCVBNSVFOCVCNyU4Qy0yLTA0MTYyMjM0MC5odG1s0gGCAWh0dHBzOi8vdHcubmV3cy55YWhvby5jb20vYW1waHRtbC8lRTclOUIlQTQlRTQlQjglQUQlRTklODAlOUYlRTUlQTAlQjEtJUU2JTlEJUIxJUU2JThEJUI3LTgwNjQtJUU2JTgwJUE1JUU4JUI3JThDLTItMDQxNjIyMzQwLmh0bWw?oc=5,Yahoo奇摩新聞,"盤中速報 - 東捷(8064)急跌-2.11%報16.3元，成交1,441張 - Yahoo奇摩新聞"
5,2023-01-09 08:00:00,8064,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDU4NDM20gEA?oc=5,Anue鉅亨,"盤中速報- 東捷(8064)急跌-2.11%報16.3元，成交1,441張 | Anue鉅亨 ... - Anue鉅亨"
6,2023-01-10 04:16:22,8064,https://news.google.com/__i/rss/rd/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDU4NDM20gEA?oc=5,Anue鉅亨,"盤中速報- 東捷(8064)急跌-2.11%報16.3元，成交1,441張 | Anue鉅亨 ... - Anue鉅亨"
7,2023-01-10 05:17:29,8064,https://news.google.com/__i/rss/rd/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDU4NDM20gEA?oc=5,Yahoo奇摩新聞,"盤中速報 - 東捷(8064)急跌-2.11%報16.3元，成交1,441張 - Yahoo奇摩新聞"
8,2023-01-16 08:00:00,8064,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDY0NzU40gEqaHR0cHM6Ly9hbXAtbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDY0NzU4?oc=5,Anue鉅亨,東捷:公告本公司112年01月16日董事會重要決議事項 - Anue鉅亨
9,2023-01-16 09:08:57,8064,https://news.google.com/rss/articles/CBMiJmh0dHBzOi8vbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDY0NzU40gEqaHR0cHM6Ly9hbXAtbmV3cy5jbnllcy5jb20vbmV3cy9pZC81MDY0NzU4?oc=5,Anue鉅亨,東捷:公告本公司112年01月16日董事會重要決議事項 - Anue鉅亨
